Fitness,,,,,,,,,,,Best fitness of population on every 10 generations,,,Best fitness of population on every generations
0,0,0,0,2,14,20,2,6,31,,7.5,,,0
16,16,16,19,19,19,22,24,23,25,,19.9,,,0
26,33,35,38,39,41,40,42,51,52,,39.7,,,0
52,62,61,64,63,60,66,66,67,80,,64.1,,,0
80,94,94,99,95,117,118,118,126,132,,107.3,,,2
136,140,154,143,162,162,172,181,197,200,,164.7,,,14
217,220,244,258,263,266,270,270,273,275,,255.6,,,20
280,278,284,287,287,287,294,298,298,326,,291.9,,,2
314,332,342,345,350,351,355,362,370,370,,349.1,,,6
379,390,390,392,390,390,392,398,395,395,,391.1,,,31
413,416,416,418,447,456,456,474,446,487,,442.9,,,23
489,489,492,497,497,505,529,500,552,552,,510.2,,,16
551,554,554,567,567,569,533,573,574,573,,561.5,,,16
579,577,577,580,580,541,580,586,591,590,,578.1,,,16
591,591,591,591,551,597,598,598,598,608,,591.4,,,19
608,608,608,583,614,615,616,616,617,620,,610.5,,,19
624,624,597,626,627,627,629,631,631,631,,624.7,,,19
633,607,634,636,636,636,636,636,636,638,,632.8,,,22
607,638,638,638,639,639,639,639,639,639,,635.5,,,24
639,639,639,639,642,642,643,643,655,612,,639.3,,,23
654,654,655,664,665,662,665,668,625,670,,658.2,,,25
675,675,683,687,687,694,685,657,694,694,,683.1,,,25
694,695,702,705,709,709,674,713,713,713,,702.7,,,26
715,715,717,717,718,682,721,721,725,725,,715.6,,,33
725,731,731,731,683,732,736,736,732,732,,726.9,,,35
732,732,732,683,732,733,733,733,733,733,,727.6,,,38
747,747,717,742,742,747,747,747,747,758,,744.1,,,39
758,729,758,758,758,758,758,759,758,780,,757.4,,,41
754,781,781,781,781,781,781,782,782,782,,778.6,,,40
782,782,782,782,782,782,782,782,782,758,,779.6,,,42
782,782,782,782,782,782,782,782,765,783,,780.4,,,51
783,783,783,783,783,783,783,767,783,783,,781.4,,,52
783,783,783,783,783,783,767,783,787,787,,782.2,,,52
787,789,789,789,789,773,789,792,792,792,,788.1,,,52
792,792,792,792,775,792,794,794,794,794,,791.1,,,62
795,795,795,776,795,795,795,795,795,795,,793.1,,,61
795,795,776,795,795,795,795,795,795,795,,793.1,,,64
795,776,795,797,797,797,797,797,797,798,,794.6,,,63
778,798,798,798,798,798,798,798,798,798,,796,,,60
798,798,798,798,798,798,798,798,798,777,,795.9,,,66
798,798,798,798,798,798,798,798,777,798,,795.9,,,66
798,798,798,798,798,799,799,781,798,800,,796.7,,,67
798,798,800,800,800,800,779,801,801,801,,797.8,,,80
801,802,802,802,802,782,802,802,803,803,,800.1,,,80
803,803,804,804,786,804,805,805,805,805,,802.4,,,80
805,805,805,789,805,805,805,805,805,805,,803.4,,,94
805,805,784,805,805,805,805,805,805,807,,803.1,,,94
807,785,807,807,807,808,808,808,808,807,,805.2,,,99
785,807,807,807,808,808,808,808,808,808,,805.4,,,95
808,810,810,810,816,816,816,816,816,790,,810.8,,,117
816,816,816,816,816,816,816,816,789,816,,813.3,,,118
817,819,819,819,821,819,821,796,821,824,,817.6,,,118
824,824,836,842,842,842,804,842,842,842,,834,,,126
842,842,842,842,842,806,845,845,845,845,,839.6,,,132
845,845,845,845,806,845,845,845,845,845,,841.1,,,136
845,846,846,807,846,846,846,846,846,846,,842,,,136
846,846,808,846,846,846,846,846,846,846,,842.2,,,140
